English	Gloss
Let’s see how  the third and final pig (is building its) house.	VER ÚLTIMO B.L(3) INDX:tercero INDX CÓMO CASA CÓMO
Are you sure?	ES.SEGURO(1M)
The pig (responds): "I know I know.	HOMBRE- CERDO SABER INDX
It prepares itself:	PREPARAR
She couldn't (walk any more).	PODER2 B
(All) jumping.	cl.e(Hd):RANAS-saltar RANA
(And started) to search.	BUSCAR(2Msu)
learning on the tree trunk.	cl.e(2b):PERSONA-apoyarse-tronco cl.e(B):TRONCO
(The wolf) fills its lungs (with air)	cl.d(5):pecho-hinchar
and escapes steaming.	cl.e(2d):PERSONA-descender+por-chimenea cl.e(C):CHIMENEA LLAMA B:cl.e(C):CHIMENEA
A dog sitting opposite	HABITACIÓN CAMA HOMBRE cl.e(2d):PERSONA-sentada
I need your advice.	CÓMO ACONSEJAR G
Those three children who are coming	INDX cl.e(3):PERSONAS3-desplazarse
When I think about it	FUTURO PENSAR(2Msu)
it looks carefully	B:ACOSTARSE PERRO cl.e(Bh):CAMA cl.e(2d):PERRO-ascender+a-cama cl.e:CAMA cl.e(2d):PERRO-posarse-cama
then takes the...	cl.m(5):coger-cesta
(The wolf takes) a look (at the house)	G:concentración MIRAR
It goes near (the house)	AHORA cl.c(1):PATAS-andar
climbs on the bike	cl.e(2b):PERSONA-ascender+a-bicicleta cl.e(B):BICICLETA
The two rushed	LOS-DOS B:cl.e(Bh):CIERVO cl.e(2d):PERSONA-caer-con+perro cl.e(2d):PERRO-caer-con+persona
